column name,census description,feature,feature description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0030001,housing units,housing_density,density of housing units (housing units/land area (sq foot)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0030002,occupied units,rate_occupied_units,occupied units/housing units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0030003,vacated units,rate_vacant_units,vacated units/housing units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0040002,Owned with a mortgage or a loan,rate_mortgage_or_loan, owned with a mortgage or a loan/housing units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0040004,Renter occupied,rate_renter_occupied,renter occupied/housing units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0050002,for rent,rate_for_rent,units for rent/housing units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0060002,Householder who is White alone,rate_white_householder,white houeholder/no of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0060003,Householder who is Black or African American alone,rate_black_householder,black_householder/no of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0060004,Householder who is American Indian and Alaska Native alone,rate_native_householder,american indian+native hawaiian householders/no of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0060006,Householder who is Native Hawaiian and Other Pacific Islander alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0060005,Householder who is Asian alone,rate_asian_householder,asian_householder/no of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0060007,Householder who is Some Other Race alone,rate_other_race_householder,other race householder/no of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0060008,Householder who is Two or More Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0100001,Population in occupied housing units,rate_pop_occupied_units,population in occupied housing units/total population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0130002,1-person household,rate_1_per_household,no of 1 person household/no of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0130003,2-person household,rate_2_per_household,no of 2 person household/no of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0130004,3-person household,rate_3_per_household,no of 3 person household/no of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0130005,4-person household,rate_4_per_household,no of 4 person household/no of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0130006,5-person household,rate_5_per_household,no of 5 person household/no of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0130007,6-person household,rate_6_per_household,no of 6 person household/no of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0130008,7-or-more-person household,rate_7_plus_per_household,no of 7 personor more household/no of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140002,Owner occupied:,rate_owner_occupied,owner occupied/housing units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140003,Owner occupied: !! Householder who is White alone,rate_owner_occupied_white,white owner occupited/owner occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140004,Owner occupied: !! Householder who is Black or African American alone,rate_owner_occupied_black,black owner occupied/owner occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140005,Owner occupied: !! Householder who is American Indian and Alaska Native alone,rate_owner_occupied_native,american indian+native hawaiian owner occupied/owner occupied units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140007,Owner occupied: !! Householder who is Native Hawaiian and Other Pacific Islander alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140006,Owner occupied: !! Householder who is Asian alone,rate_owner_occupied_asian,asian owner occupied/owner occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140008,Owner occupied: !! Householder who is Some Other Race alone,rate_owner_occupied_other_race,other race owner occupied/owner occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140009,Owner occupied: !! Householder who is Two or More Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140010,Renter occupied: !! Householder who is Two or More Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140011,Renter occupied: !! Householder who is White alone,rate_renter_occupied_white,white renter occupied/Renter occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140012,Renter occupied: !! Householder who is Black or African American alone,rate_renter_occupied_black,black renter occupied/Renter occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140015,Renter occupied: !! Householder who is Native Hawaiian and Other Pacific Islander alone,rate_renter_occupied_native,native renter occupied/renter occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140013,Renter occupied: !! Householder who is American Indian and Alaska Native alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140014,Renter occupied: !! Householder who is Asian alone,rate_renter_occupied_asian,asian renter occupied/renter occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140016,Renter occupied: !! Householder who is Some Other Race alone,rate_renter_occupied_other,other renter occupied/renter occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0140017,Renter occupied: !! Householder who is Two or More Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0150001,Occupied housing units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0150002,Owner occupied:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0150003,Owner occupied: !! Not Hispanic or Latino householder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0150004,Owner occupied: !! Hispanic or Latino householder,rate_owner_occupied_hispanic,hispanic owner occupied/owner occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0150005,Renter occupied: !! Hispanic or Latino householder,rate_renter_occupied_hispanic,hispanic renter occupied/renter occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0150006,Renter occupied: !! Not Hispanic or Latino householder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0150007,Renter occupied: !! Hispanic or Latino householder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0190003,Owner-occupied: !! With children under 18 years,rate_owner_occupied_w_children,owner occupied with children/owner occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0190004,Owner-occupied: !! No children under 18 years,rate_owner_occupied_no_children,owner occupied no children/owner occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0190005,Renter-occupied: !! No children under 18 years,rate_renter_occupied_no_children,renter occupied no children/renter occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0190006,Renter-occupied: !! With children under 18 years,rate_renter_occupied_w_children,renter occupied with children/renter occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0190007,Renter-occupied: !! No children under 18 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0200002,Substituted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0200003,Not substituted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0010001,total population,population_density,total population/land area(sq foot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0030002,White alone,rate_white_pop,white population/total population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0030003,Black or African American alone,rate_black_pop,black population/total pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0030006,Native Hawaiian and Other Pacific Islander alone,rate_native_pop,native hawaiian + american indian population/total pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0030004,American Indian and Alaska Native alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0030005,Asian alone,rate_asian_pop,asian population/total population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0030007,Some Other Race alone,rate_other_race_pop,other race population/total population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0030008,Two or More Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0110001,Population 18 years and over,pop_over_18,population over 18/total population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120003,Male: !! Under 5 years,rate_male_under_18,total number of males under 18/total population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120004,Male: !! 5 to 9 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120005,Male: !! 10 to 14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
